timestamp,windAvg,windDegrees,windMin,windMax,temperature
1718513817611,2.1,130.0,1.5,2.6,13.3
1718513847820,2.1,130.0,1.5,2.6,13.3
1718513878021,2.1,130.0,1.5,2.6,13.3
1718513908219,2.1,130.0,1.5,2.6,13.3
1718513938417,2.1,130.0,1.5,2.6,13.3
1718513968617,2.1,130.0,1.5,2.6,13.3
1718513974756,2.1,130.0,1.5,2.6,13.4
1718514004958,2.1,130.0,1.5,2.6,13.4
1718514035158,2.1,130.0,1.5,2.6,13.5
1718514065351,2.1,130.0,1.5,2.6,13.5
1718514095552,2.1,130.0,1.5,2.6,13.6
1718514125745,2.1,130.0,1.5,2.6,13.6
1718514155943,2.1,130.0,1.5,2.6,13.6
1718514186139,2.1,130.0,1.5,2.6,13.6
1718514216332,2.1,130.0,1.5,2.6,13.7
1718514246529,2.1,130.0,1.5,2.6,13.7
1718514276724,2.1,130.0,1.5,2.6,13.7
1718514306921,2.1,130.0,1.5,2.6,13.7
1718514337123,2.1,130.0,1.5,3.1,13.8
1718514367318,2.1,130.0,1.5,3.1,13.8
1718514397514,2.1,130.0,1.5,3.1,13.8
1718514427712,2.1,130.0,1.5,3.1,13.8
1718514457908,2.1,130.0,1.5,3.1,13.9
1718514488107,2.1,130.0,1.5,3.1,13.9
1718514518304,2.1,130.0,1.5,3.1,14.0
1718514548499,2.1,130.0,1.5,3.1,14.0
1718514578694,2.1,130.0,1.5,3.1,14.1
1718514608894,2.1,130.0,1.5,3.1,14.1
1718514639088,2.1,130.0,1.5,3.6,14.1
1718514669284,2.1,130.0,1.5,3.6,14.1
1718514699480,2.1,130.0,1.5,3.6,14.2
1718514729674,2.1,130.0,1.5,3.6,14.2
1718514759871,2.1,130.0,1.5,3.6,14.3
1718514790066,2.1,130.0,1.5,3.6,14.3
1718514820261,2.1,130.0,2.1,3.6,14.4
1718514850461,2.1,130.0,2.1,3.6,14.4
1718514880655,2.1,130.0,2.1,3.6,14.4
1718514910853,2.1,130.0,2.1,3.6,14.4
1718514941047,2.1,130.0,2.1,3.6,14.5
1718514971240,2.1,130.0,2.1,3.6,14.5
1718515001437,2.1,130.0,2.1,3.6,14.7
1718515031636,2.1,130.0,2.1,3.6,14.7
1718515061830,2.1,130.0,2.1,3.6,14.7
1718515092028,2.1,130.0,2.1,3.6,14.7
1718515122223,2.1,130.0,2.6,3.6,14.8
1718515152436,2.1,130.0,2.6,3.6,14.8
1718515182636,2.1,130.0,2.6,4.1,14.9
1718515212833,2.1,130.0,2.6,4.1,14.9
1718515243029,3.1,140.0,2.6,4.1,15.0
1718515273223,3.1,140.0,2.6,4.1,15.0
1718515303416,3.1,140.0,2.6,4.1,15.0
1718515333611,3.1,140.0,2.6,4.1,15.0
1718515363808,3.1,140.0,2.6,4.1,15.0
1718515394003,3.1,140.0,2.6,4.1,15.0
1718515424203,3.1,140.0,1.5,4.1,15.0
1718515454406,3.1,140.0,1.5,4.1,15.0
1718515484604,3.1,140.0,1.5,4.1,15.2
1718515514801,3.1,140.0,1.5,4.1,15.2
1718515544997,3.1,140.0,1.5,4.1,15.3
1718515575191,3.1,140.0,1.5,4.1,15.3
1718515605391,3.1,140.0,1.5,4.1,15.3
1718515635586,3.1,140.0,1.5,4.1,15.3
1718515665781,3.1,140.0,1.5,4.1,15.3
1718515695978,3.1,140.0,1.5,4.1,15.3
1718515726172,3.1,140.0,1.5,4.1,15.4
1718515756369,3.1,140.0,1.5,4.1,15.4
1718515786564,3.1,140.0,1.5,4.1,15.5
1718515816760,3.1,140.0,1.5,4.1,15.5
1718515846958,3.1,140.0,1.5,4.1,15.6
1718515877151,3.1,140.0,1.5,4.1,15.6
1718515907348,3.1,140.0,1.5,4.6,15.6
1718515937546,3.1,140.0,1.5,4.6,15.6
1718515967738,3.1,140.0,1.5,4.6,15.6
1718515997936,3.1,140.0,1.5,4.6,15.6
1718516028133,3.1,140.0,2.1,4.6,15.6
1718516058330,3.1,140.0,2.1,4.6,15.6
1718516088528,3.1,140.0,2.1,4.6,15.7
1718516118722,3.1,140.0,2.1,4.6,15.7
1718516148916,3.1,140.0,2.6,4.6,15.8
1718516179114,3.1,140.0,2.6,4.6,15.8
1718516209308,3.1,140.0,2.6,4.6,15.8
1718516239504,3.1,140.0,2.6,4.6,15.8
1718516269700,3.1,140.0,2.6,4.6,15.8
1718516299896,3.1,140.0,2.6,4.6,15.8
1718516330094,3.1,140.0,2.6,4.6,15.9
1718516360288,3.1,140.0,2.6,4.6,15.9
1718516390503,3.1,140.0,2.6,4.6,15.9
1718516420698,3.1,140.0,2.6,4.6,15.9
1718516450901,3.1,140.0,2.6,4.6,15.9
1718516481098,3.1,140.0,2.6,4.6,15.9
1718516511299,3.1,140.0,2.6,4.6,16.0
1718516541494,3.1,140.0,2.6,4.6,16.0
1718516571690,3.1,140.0,2.6,4.6,16.0
1718516601886,3.1,140.0,2.6,4.6,16.0
1718516632085,3.1,140.0,2.6,4.6,16.1
